key,model,queries,logit_scale,query,loss
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,2,2.563459873199463
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,3,2.6474006175994873
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,4,2.8010265827178955
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,5,1.5237033367156982
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,6,3.744781255722046
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,7,3.3969037532806396
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,8,2.235370635986328
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,9,2.0312747955322266
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,10,2.1772592067718506
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,11,3.153871536254883
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,12,3.203181743621826
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,13,3.2244277000427246
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,14,2.85042142868042
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,15,3.1815383434295654
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,16,2.5912227630615234
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,17,3.0876870155334473
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,18,2.19480037689209
qwen15b/indist,/mnt/ssd-2/lucia/models/Qwen2.5-1.5B,/mnt/ssd-2/lucia/datasets_local/query_20_qwen.hf,1.0,19,2.3283801078796387
