log,phase,seconds,iters,passes
_logs/bm25_plan_adam_eps1e17_8k_bs256_q2_4.log,Training,288,63,1
_logs/bm25_plan_adam_eps1e17_8k_bs256_q4_6.log,Training,287,63,1
_logs/bm25_plan_adam_eps1e17_8k_bs256_q6_8.log,Training,288,63,1
_logs/bm25_plan_adam_eps1e17_8k_bs256_q8_10.log,Training,289,63,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q0_2.log,Training,562,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q0_2.log,filter-proponents,1129,2,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q10_12.log,Training,594,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q10_12.log,filter-proponents,1189,2,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q12_14.log,Training,561,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q12_14.log,filter-proponents,1125,2,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q14_16.log,Training,559,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q14_16.log,filter-proponents,1121,2,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q16_18.log,Training,569,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q16_18.log,filter-proponents,1141,2,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q18_20.log,Training,558,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q18_20.log,filter-proponents,1121,2,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q2_4.log,Training,557,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q2_4.log,filter-proponents,1111,2,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q4_6.log,Training,559,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q4_6.log,filter-proponents,1120,2,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q6_8.log,Training,552,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q6_8.log,filter-proponents,1105,2,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q8_10.log,Training,560,125,1
_logs/bm25_sm_adamw_eps1e17_16k_bs256_q8_10.log,filter-proponents,1122,2,1
_logs/bm25_top1_256k_q11_12_nproc1_fixedquery_clover-0.log,Evaluating bank,10,3,1
_logs/bm25_top1_256k_q11_12_nproc1_fixedquery_clover-0.log,Training,17232,2000,1
_logs/bm25_top1_256k_q11_12_nproc1_fixedquery_clover-0.log,filter-proponents,17214,1,1
_logs/bm25_top1_256k_q13_14_nproc1_fixedquery_clover-0.log,Evaluating bank,9,3,1
_logs/bm25_top1_256k_q13_14_nproc1_fixedquery_clover-0.log,Training,17280,2000,1
_logs/bm25_top1_256k_q13_14_nproc1_fixedquery_clover-0.log,filter-proponents,17268,1,1
_logs/bm25_top1_256k_q15_16_nproc1_fixedquery_heather-0.log,Evaluating bank,10,3,1
_logs/bm25_top1_256k_q15_16_nproc1_fixedquery_heather-0.log,Training,17279,2000,1
_logs/bm25_top1_256k_q15_16_nproc1_fixedquery_heather-0.log,filter-proponents,17274,1,1
_logs/bm25_top1_256k_q17_18_nproc1_fixedquery_heather-0.log,Evaluating bank,11,3,1
_logs/bm25_top1_256k_q17_18_nproc1_fixedquery_heather-0.log,Training,16953,2000,1
_logs/bm25_top1_256k_q17_18_nproc1_fixedquery_heather-0.log,filter-proponents,16948,1,1
_logs/bm25_top1_256k_q19_20_nproc1_fixedquery_heather-0.log,Evaluating bank,9,3,1
_logs/bm25_top1_256k_q19_20_nproc1_fixedquery_heather-0.log,Training,17176,2000,1
_logs/bm25_top1_256k_q19_20_nproc1_fixedquery_heather-0.log,filter-proponents,17165,1,1
_logs/bm25_top1_256k_q7_8_nproc1_fixedquery_clover-0.log,Evaluating bank,10,3,1
_logs/bm25_top1_256k_q7_8_nproc1_fixedquery_clover-0.log,Training,17053,2000,1
_logs/bm25_top1_256k_q7_8_nproc1_fixedquery_clover-0.log,filter-proponents,17039,1,1
_logs/bm25_top1_256k_q9_10_nproc1_fixedquery_clover-0.log,Evaluating bank,10,3,1
_logs/bm25_top1_256k_q9_10_nproc1_fixedquery_clover-0.log,Training,17190,2000,1
_logs/bm25_top1_256k_q9_10_nproc1_fixedquery_clover-0.log,filter-proponents,17179,1,1
_logs/bm25_top1_8k_q0_2_filter2.log,Training,288,63,1
_logs/bm25_top1_8k_q0_2_filter2.log,filter-proponents,580,2,1
_logs/bm25_top1_8k_q0_2_fixed.log,Training,288,63,1
_logs/bm25_top1_8k_q0_2_rerun.log,Training,288,63,1
_logs/bm25_top1_8k_q10_12_filter2.log,Training,290,63,1
_logs/bm25_top1_8k_q10_12_filter2.log,filter-proponents,584,2,1
_logs/bm25_top1_8k_q10_12_fixed.log,Training,289,63,1
_logs/bm25_top1_8k_q10_12_rerun.log,Training,292,63,1
_logs/bm25_top1_8k_q11_12_nproc1_fixedquery_clover-0.log,Training,546,63,1
_logs/bm25_top1_8k_q11_12_nproc1_fixedquery_clover-0.log,filter-proponents,550,1,1
_logs/bm25_top1_8k_q11_12_nproc1_retry3_clover-0.log,Training,546,63,1
_logs/bm25_top1_8k_q11_12_single.log,Training,563,63,1
_logs/bm25_top1_8k_q11_12_single_bell2.log,Training,289,63,1
_logs/bm25_top1_8k_q12_14_filter2.log,Training,287,63,1
