n,rule,method,qset,query,qld,ctrl_sd,ctrl_n
8000,top1%,ekfac,held-out,15,0.055577437102328986,0.0003646648256108165,3
8000,top1%,ekfac,held-out,16,0.013506491974112578,0.0010759534779936075,3
8000,top1%,ekfac,held-out,17,0.015381177265226142,0.0007876464514993131,3
8000,top1%,ekfac,held-out,18,0.015550533920759335,0.0010849150130525231,3
8000,top1%,ekfac,held-out,19,0.016151587187778205,0.0007201514672487974,3
8000,top1%,bm25,in-dist,0,0.013794281482696534,0.0010453354718232052,100
8000,top1%,bm25,in-dist,1,0.014445958137512207,0.0009042187924503893,100
8000,top1%,bm25,in-dist,2,0.009890642166137695,0.0012553257073440157,100
8000,top1%,bm25,in-dist,3,0.010803165435791016,0.0009516408245904929,100
8000,top1%,bm25,in-dist,4,0.008394808769226074,0.0012117289072139084,100
8000,top1%,bm25,in-dist,5,0.01395376682281494,0.001234469309157312,100
8000,top1%,bm25,in-dist,6,0.01091486930847168,0.0010040363874471863,100
8000,top1%,bm25,in-dist,7,0.009085922241210938,0.0012708710279892644,100
8000,top1%,bm25,in-dist,8,0.014028682708740234,0.001155041859091887,100
8000,top1%,bm25,in-dist,9,0.011020352840423584,0.0010048837786461302,100
8000,top1%,bm25,in-dist,10,0.012939119338989257,0.0011194911217338272,100
8000,top1%,bm25,in-dist,11,0.029906022548675536,0.0014099602556622165,100
8000,top1%,bm25,in-dist,12,0.01619584798812866,0.000907614625606445,100
8000,top1%,bm25,in-dist,13,0.015123772621154784,0.0015133833077999178,100
8000,top1%,bm25,in-dist,14,0.011982364654541016,0.0009672912096472646,100
8000,top1%,bm25,in-dist,15,0.009419400691986084,0.001819283320856632,100
8000,top1%,bm25,in-dist,16,0.010559277534484863,0.0009986561321074928,100
8000,top1%,bm25,in-dist,17,0.17438446044921874,0.0019555999703275923,100
8000,top1%,bm25,in-dist,18,0.02244422197341919,0.0014505408618618826,100
8000,top1%,bm25,in-dist,19,0.027924063205718993,0.002114517989095387,100
8000,top1%,bm25,held-out,0,0.012223482131958008,0.002297373255714774,3
8000,top1%,bm25,held-out,1,0.005200703933951445,5.428426811704412e-05,3
8000,top1%,bm25,held-out,2,0.008350372314453125,0.00046241324162110686,3
8000,top1%,bm25,held-out,3,0.012335459381574765,0.0011853744508698583,3
8000,top1%,bm25,held-out,4,0.016607125600785366,0.0011558803962543607,3
8000,top1%,bm25,held-out,5,0.006071964889997616,0.0006825572345405817,3
8000,top1%,bm25,held-out,6,0.009307543434260879,0.0007961045484989882,3
8000,top1%,bm25,held-out,7,0.00259963670396246,0.0007281849975697696,3
8000,top1%,bm25,held-out,8,0.007401307426334824,0.0008215284906327724,3
8000,top1%,bm25,held-out,9,0.010854880005354062,0.00018149986863136292,3
8000,top1%,bm25,held-out,10,0.013869285583496094,0.0003814033407252282,3
8000,top1%,bm25,held-out,11,0.005862553913175361,0.0012509241933003068,3
8000,top1%,bm25,held-out,12,0.03174153964209836,0.0003001958248205483,3
8000,top1%,bm25,held-out,13,0.008420387923251837,0.0006908210925757885,3
8000,top1%,bm25,held-out,14,0.01243265469383914,0.0004292040830478072,3
8000,top1%,bm25,held-out,15,0.03541151684476063,0.0003646648256108165,3
8000,top1%,bm25,held-out,16,0.004242499664542265,0.001075927633792162,3
8000,top1%,bm25,held-out,17,0.006335099536954658,0.0007876464514993131,3
8000,top1%,bm25,held-out,18,0.01172129312180914,0.001084480551071465,3
8000,top1%,bm25,held-out,19,0.007355372130405158,0.0007201514672487974,3
8000,top1%,magic,in-dist,0,0.0725942182543804,0.001050635357387364,100
8000,top1%,magic,in-dist,1,0.05092764139408246,0.0009087920770980418,100
8000,top1%,magic,in-dist,2,0.07305922269733856,0.0012616516323760152,100
8000,top1%,magic,in-dist,3,0.06312880753830541,0.0009564260835759342,100
8000,top1%,magic,in-dist,4,0.05916433810489252,0.0012179050827398896,100
8000,top1%,magic,in-dist,5,0.07135967491194606,0.001240564975887537,100
8000,top1%,magic,in-dist,6,0.055586240290722344,0.001009120256640017,100
8000,top1%,magic,in-dist,7,0.07024838923825882,0.001277279225178063,100
8000,top1%,magic,in-dist,8,0.05592084885574877,0.0011609317734837532,100
8000,top1%,magic,in-dist,9,0.056192276475485414,0.0010099669452756643,100
8000,top1%,magic,in-dist,10,0.06122305393364513,0.0011251283576712012,100
8000,top1%,magic,in-dist,11,0.08685427188174799,0.0014170935610309243,100
